enzyme_id,enzyme_ecnum,reaction_id,Gene-reaction-association
85,1.14.13.30,5848,''
85,1.14.13.30,5851,''
85,1.14.13.30,5852,''
85,1.14.13.30,5854,''
85,1.14.13.30,6094,''
85,1.14.13.30,6096,''
85,1.14.13.30,6099,''
85,1.14.13.30,6100,''
85,1.14.13.30,6102,''
85,1.14.13.30,6104,''
85,1.14.13.30,6415,''
85,1.14.13.30,6466,''
85,1.14.13.30,6468,''
85,1.14.13.30,6470,''
85,1.14.13.30,6472,''
85,1.14.13.30,6473,''
85,1.14.13.30,6502,''
85,1.14.13.30,6503,''
85,1.14.13.30,6509,''
85,1.14.13.30,6545,''
85,1.14.13.30,6552,''
85,1.14.13.30,6553,''
85,1.14.13.30,6555,''
85,1.14.13.30,6556,''
85,1.14.13.30,6569,''
86,1.14.13.34,6591,''
87,1.14.13.39,3811,'(AV717590.1) or (953.1) or (956.1) or (377841.1)'
87,1.14.13.39,3781,'(AA532636.1) or (2936.1)'
87,1.14.13.39,2756,'(5409.1)'
87,1.14.13.39,2757,'(4846.1) or (201288.1) or (4842.1) or (4843.2) or (4843.1) or (645740.1)'
88,1.14.13.67,5639,'(1593.1)'
88,1.14.13.67,5607,'(1576.1)'
88,1.14.13.67,5649,'(1576.1)'
88,1.14.13.67,5604,'(10455.1) or (1962.1)'
88,1.14.13.67,5605,''
88,1.14.13.67,5606,''
88,1.14.13.67,5608,''
88,1.14.13.67,5609,''
88,1.14.13.67,5616,''
88,1.14.13.67,5617,''
88,1.14.13.67,5640,''
88,1.14.13.67,5644,''
88,1.14.13.67,5645,''
88,1.14.13.67,5647,''
88,1.14.13.67,5648,''
88,1.14.13.67,5650,''
88,1.14.13.67,5878,''
88,1.14.13.67,5879,''
89,1.14.13.70,4108,'(30.1) or (10449.1) or (3032.1) or (4645.1)'
90,1.14.13.72,4296,''
91,1.14.13.8,6657,''
91,1.14.13.8,6658,''
92,1.14.13.9,2364,'(8942.1)'
93,1.14.14.1,6352,'(5337.1)'
93,1.14.14.1,2523,'(3620.1)'
93,1.14.14.1,6091,'(224.1) or (218.1)'
93,1.14.14.1,6674,'(2053.1)'
93,1.14.14.1,6679,'(2053.1)'
93,1.14.14.1,6686,'(2053.1)'
93,1.14.14.1,5803,'(162417.1)'
93,1.14.14.1,2869,'(1593.1)'
93,1.14.14.1,2858,'(1588.1) or (1588.2)'
93,1.14.14.1,2859,'(1588.1) or (1588.2)'
93,1.14.14.1,2857,'(1586.1)'
93,1.14.14.1,2875,'(1559.1) or (1557.1)'
93,1.14.14.1,2876,'(1559.1) or (1557.1)'
93,1.14.14.1,2874,'(1559.1)'
93,1.14.14.1,2873,'(1558.1) or (1558.2)'
93,1.14.14.1,2870,'(1553.1) or (1548.1)'
93,1.14.14.1,6354,'(1543.1) or (1544.1) or (1571.1) or (1576.1) or (1558.1) or (1565.1) or (1548.1) or (1588.1) or (1559.1) or (1580.1) or (1555.1) or (1577.1) or (1549.1) or (1551.1) or (1572.1) or (1562.1) or (1573.1) or (11283.1) or (1545.1) or (1553.1) or (199974.1) or (260293.1) or (29785.1) or (64816.1) or (57834.1) or (66002.1)'
93,1.14.14.1,6356,'(1543.1) or (1544.1) or (1571.1) or (1576.1) or (1558.1) or (1565.1) or (1548.1) or (1588.1) or (1559.1) or (1580.1) or (1555.1) or (1577.1) or (1549.1) or (1551.1) or (1572.1) or (1562.1) or (1573.1) or (11283.1) or (1545.1) or (1553.1) or (199974.1) or (260293.1) or (29785.1) or (64816.1) or (57834.1) or (66002.1)'
93,1.14.14.1,6358,'(1543.1) or (1544.1) or (1571.1) or (1576.1) or (1558.1) or (1565.1) or (1548.1) or (1588.1) or (1559.1) or (1580.1) or (1555.1) or (1577.1) or (1549.1) or (1551.1) or (1572.1) or (1562.1) or (1573.1) or (11283.1) or (1545.1) or (1553.1) or (199974.1) or (260293.1) or (29785.1) or (64816.1) or (57834.1) or (66002.1)'
93,1.14.14.1,6370,'(1543.1) or (1544.1) or (1571.1) or (1576.1) or (1558.1) or (1565.1) or (1548.1) or (1588.1) or (1559.1) or (1580.1) or (1555.1) or (1577.1) or (1549.1) or (1551.1) or (1572.1) or (1562.1) or (1573.1) or (11283.1) or (1545.1) or (1553.1) or (199974.1) or (260293.1) or (29785.1) or (64816.1) or (57834.1) or (66002.1)'
93,1.14.14.1,6681,'(1543.1) or (1544.1) or (1571.1) or (1576.1) or (1558.1) or (1565.1) or (1548.1) or (1588.1) or (1559.1) or (1580.1) or (1555.1) or (1577.1) or (1549.1) or (1551.1) or (1572.1) or (1562.1) or (1573.1) or (11283.1) or (1545.1) or (1553.1) or (199974.1) or (260293.1) or (29785.1) or (64816.1) or (57834.1) or (66002.1)'
93,1.14.14.1,6367,'(10901.1)'
93,1.14.14.1,2886,'(10858.1)'
93,1.14.14.1,2433,''
93,1.14.14.1,5804,''
93,1.14.14.1,6092,''
93,1.14.14.1,6353,''
93,1.14.14.1,6355,''
93,1.14.14.1,6357,''
93,1.14.14.1,6359,''
93,1.14.14.1,6368,''
93,1.14.14.1,6369,''
93,1.14.14.1,6371,''
93,1.14.14.1,6372,''
93,1.14.14.1,6663,''
93,1.14.14.1,6664,''
93,1.14.14.1,6675,''
93,1.14.14.1,6680,''
93,1.14.14.1,6682,''
93,1.14.14.1,6687,''
94,1.14.15.4,2851,'(1584.1)'
94,1.14.15.4,2852,'(1584.1)'
94,1.14.15.4,2850,'(1583.1)'
95,1.14.15.67,2849,''
96,1.14.16.1,3894,'(5160.1) or (5161.1) or (5162.1)'
96,1.14.16.1,2982,'(117247.1) or (124935.1)'
97,1.14.16.2,3597,'(6818.3) or (6818.1) or (6817.4) or (6817.1) or (6817.3) or (6818.2) or (6817.2) or (6817.5)'
98,1.14.16.4,3897,'(6576.1)'
98,1.14.16.4,3575,''
99,1.14.17.1,1100,''
99,1.14.17.1,5538,''
100,1.14.18.1,3601,'(7299.1)'
100,1.14.18.1,6297,'(7299.1)'
100,1.14.18.1,6295,'(64834.1)'
100,1.14.18.1,1101,'(26002.1) or (1621.1)'
100,1.14.18.1,3600,'(1644.1)'
100,1.14.18.1,3475,''
100,1.14.18.1,6270,''
100,1.14.18.1,6296,''
101,1.14.18.2,3895,'(4967.1) or (55753.1)'
101,1.14.18.2,3846,'(125061.1)'
101,1.14.18.2,3845,''
102,1.14.19.1,886,'(9415.1)'
102,1.14.19.1,890,'(9415.1)'
102,1.14.19.1,893,'(9415.1)'
102,1.14.19.1,885,'(6319.1)'
102,1.14.19.1,887,'(6319.1)'
102,1.14.19.1,888,'(6319.1)'
102,1.14.19.1,894,'(3992.1)'
102,1.14.19.1,895,'(3992.1)'
102,1.14.19.1,884,''
102,1.14.19.1,896,''
102,1.14.19.1,3941,''
102,1.14.19.1,3942,''
103,1.14.99.1,2970,'(9489.1)'
103,1.14.99.1,2971,'(5743.1) or (5742.1)'
103,1.14.99.1,6521,'(5742.1) or (5743.1)'
103,1.14.99.1,6522,'(5742.1) or (5743.1)'
103,1.14.99.1,5752,''
103,1.14.99.1,5753,''
103,1.14.99.1,6519,''
103,1.14.99.1,6520,''
103,1.14.99.1,6622,''
103,1.14.99.1,6623,''
104,1.14.99.10,2861,'(1589.1)'
104,1.14.99.10,2860,'(1545.1)'
104,1.14.99.10,5794,''
104,1.14.99.10,5795,''
105,1.14.99.25,891,'(9415.1)'
105,1.14.99.25,892,'(9415.1)'
105,1.14.99.25,889,'(6319.1)'
105,1.14.99.25,897,''
106,1.14.99.3,2256,'(6541.1) or (84889.1) or (6542.1)'
107,1.14.99.36,553,'(8424.1)'
108,1.14.99.7,3422,'(189.1)'
109,1.14.99.9,2854,'(1586.1)'
109,1.14.99.9,2855,'(1586.1)'
109,1.14.99.9,2856,'(1586.1)'
