170,CHEBI,17482,2463,0
171,PubChem,439258,2463,0
172,HepatoNet,HC00916,2463,0
173,HMDB,HMDB03125,3195,0
174,KEGG,C00027,3195,0
175,EHMN,C00027,3195,0
176,CHEBI,16240,3195,0
177,PubChem,784,3195,0
178,HepatoNet,HC00036,3195,0
179,HMDB,HMDB00806,4900,0
180,KEGG,C06424,4900,0
181,EHMN,C06424,4900,0
182,CHEBI,28875,4900,0
183,PubChem,11005,4900,0
184,KEGG,C04849,875,0
185,EHMN,C04849,875,0
186,CHEBI,57449,875,0
187,PubChem,21158465,875,0
188,HMDB,HMDB03945,3514,0
189,KEGG,C05272,3514,0
190,EHMN,C05272,3514,0
191,CHEBI,61526,3514,0
192,PubChem,46173176,3514,0
193,HepatoNet,HC01411,3514,0
194,HMDB,HMDB01127,439,0
195,KEGG,C01236,439,0
196,EHMN,C01236,439,0
197,CHEBI,16938,439,0
198,PubChem,439452,439,0
199,HepatoNet,HC00733,439,0
200,EHMN,CE6451,2130,0
201,HMDB,HMDB00696,4045,0
202,KEGG,C00073,4045,0
203,CHEBI,16643,4045,0
204,PubChem,6137,4045,0
205,HepatoNet,HC00075,4045,0
206,HMDB,HMDB06519,4718,0
207,KEGG,C16163,4718,0
208,PubChem,23724640,4718,0
209,HMDB,HMDB04484,609,0
210,KEGG,C11136,609,0
211,CHEBI,37451,609,0
212,PubChem,443078,609,0
213,HMDB,HMDB12557,1624,0
214,EHMN,CE4898,1624,0
215,PubChem,53481463,1624,0
216,HMDB,HMDB01310,639,0
217,KEGG,C00133,639,0
218,CHEBI,15570,639,0
219,PubChem,71080,639,0
220,EHMN,CE6452,2131,0
221,KEGG,C05874,2930,0
222,HMDB,HMDB05896,3521,0
223,KEGG,C14209,3521,0
224,CHEBI,62845,3521,0
225,PubChem,44348689,3521,0
226,HMDB,HMDB01362,3176,0
227,KEGG,C00282,3176,0
228,CHEBI,15378,3176,0
229,PubChem,1038,3176,0
230,EHMN,CE5344,1838,0
231,HMDB,HMDB01336,150,0
232,KEGG,C01161,150,0
233,EHMN,C01161,150,0
234,CHEBI,41941,150,0
235,HMDB,HMDB01143,4060,0
236,KEGG,C01243,4060,0
237,EHMN,C01243,4060,0
238,CHEBI,18228,4060,0
239,PubChem,439455,4060,0
240,HMDB,HMDB00010,892,0
241,KEGG,C05299,892,0
242,EHMN,C05299,892,0
243,CHEBI,1189,892,0
244,PubChem,440624,892,0
245,HMDB,HMDB06484,111,0
246,CHEBI,50771,111,0
247,HMDB,HMDB00067,2242,0
248,KEGG,C00187,2242,0
249,EHMN,C00187,2242,0
250,CHEBI,16113,2242,0
251,PubChem,5997,2242,0
252,HepatoNet,HC00178,2242,0
253,EHMN,CE5348,1848,0
254,HMDB,HMDB06059,3857,0
255,KEGG,C05950,3857,0
256,CHEBI,27562,3857,0
257,PubChem,5280877,3857,0
258,HMDB,HMDB00210,4406,0
259,KEGG,C00864,4406,0
260,CHEBI,7916,4406,0
261,PubChem,988,4406,0
262,HepatoNet,HC00568,4406,0
263,HMDB,HMDB00215,511,0
264,KEGG,C00140,511,0
265,EHMN,C00140,511,0
266,CHEBI,506227,511,0
267,PubChem,439174,511,0
268,HepatoNet,HC00138,511,0
269,HMDB,HMDB01509,2100,0
270,KEGG,C04853,2100,0
271,EHMN,CE6247,2100,0
272,CHEBI,15646,2100,0
273,PubChem,1589,2100,0
274,HMDB,HMDB02719,2711,0
275,KEGG,C01802,2711,0
276,EHMN,C01802,2711,0
277,CHEBI,17737,2711,0
278,PubChem,439577,2711,0
279,HepatoNet,HC00847,2711,0
280,EHMN,CE5968,2022,0
281,HMDB,HMDB02024,3651,0
282,KEGG,C02835,3651,0
283,EHMN,C02835,3651,0
284,CHEBI,16974,3651,0
285,PubChem,96215,3651,0
286,KEGG,C05546,4194,0
287,EHMN,C05546,4194,0
288,HMDB,HMDB01097,4429,0
289,KEGG,C01079,4429,0
290,EHMN,C01079,4429,0
291,CHEBI,15435,4429,0
292,PubChem,121893,4429,0
293,HepatoNet,HC00656,4429,0
294,HMDB,HMDB04385,919,0
295,KEGG,C06314,919,0
296,EHMN,C06314,919,0
297,CHEBI,6498,919,0
298,PubChem,5280914,919,0
299,HMDB,HMDB00014,2518,0
300,KEGG,C00881,2518,0
301,EHMN,C00881,2518,0
302,CHEBI,15698,2518,0
303,PubChem,13711,2518,0
304,HepatoNet,HC00574,2518,0
305,EHMN,CE5132,1684,0
306,CHEBI,57923,1684,0
307,KEGG,C15650,2631,0
308,CHEBI,50604,2631,0
309,PubChem,561,2631,0
310,HMDB,HMDB02369,1141,0
311,KEGG,C15493,1141,0
312,EHMN,CE1617,1141,0
313,CHEBI,50648,1141,0
314,PubChem,449171,1141,0
