5988,1
5989,4
5989,"1 , 4"
5989,"1 , 5 , 4"
5982,8
5983,"1 , 4"
5980,1
5981,1
5986,4
5987,3
5984,5
5985,8
270,7
271,"5 , 4"
271,"5 , 4 , 6"
272,4
272,"8 , 4"
273,"4 , 6"
274,6
275,8
276,1
277,"1 , 4"
278,"1 , 4"
279,3
2143,2
2142,1
3519,6
3518,"8 , 4"
3518,"8 , 5 , 4"
3518,"1 , 8 , 5 , 4"
3513,"5 , 7"
3512,4
3511,4
3510,"4 , 6"
3517,"1 , 4"
3516,4
3515,"1 , 4"
3514,4
2688,4
2689,"4 , 6"
2689,"4 , 7 , 6"
2684,2
2685,"1 , 4"
2686,4
2687,"3 , 4"
2687,"3 , 4 , 7"
2687,"3 , 4 , 7"
2680,4
2680,"4 , 7"
2681,4
2682,"1 , 4"
2683,6
99,1
98,4
91,"1 , 4"
90,4
93,4
92,4
95,"1 , 4"
94,4
97,4
96,"3 , 4"
1177,"4 , 6"
1176,"1 , 4"
1175,1
1174,"4 , 6"
1174,"1 , 4 , 6"
1173,"2 , 4"
1172,"1 , 4"
1172,"1 , 4"
1171,"4 , 6"
1171,"4 , 6"
1170,"1 , 4"
1179,1
1178,6
876,4
877,1
3432,3
623,"4 , 6"
875,"1 , 4"
622,8
622,8
872,"4 , 6"
1225,4
3435,1
620,4
870,"2 , 4"
870,"1 , 2 , 4"
627,4
871,"1 , 4"
626,"1 , 4"
4592,"5 , 4"
625,5
2036,6
624,4
4590,"1 , 4"
4591,6
2745,3
4849,"1 , 4"
4849,"1 , 4"
4594,"1 , 4"
4594,"1 , 5 , 4"
4594,"1 , 5 , 4 , 6"
4594,"1 , 2 , 5 , 4 , 6"
4594,"1 , 3 , 2 , 5 , 4 , 6"
4595,4
2749,4
2749,"4 , 6"
2749,"3 , 4 , 6"
4845,1
4598,8
4599,8
4734,4
4735,6
2039,"1 , 4"
4843,"1 , 4"
4738,"1 , 4"
4738,"1 , 4 , 6"
4739,4
393,"1 , 4"
393,"1 , 4 , 7"
392,"4 , 7"
391,1
390,4
397,7
396,4
395,8
394,4
399,1
398,4
398,"1 , 4"
2309,5
2308,4
4729,"1 , 4"
4728,4
2301,5
2300,4
2303,3
2302,"1 , 4"
2305,7
2304,"2 , 4"
2307,4
2306,"1 , 4"
2306,"1 , 4"
5847,4
5847,"4 , 7"
5847,"3 , 4 , 7"
5846,"1 , 4"
5845,4
5845,"4 , 6"
5845,"3 , 4 , 6"
5844,4
5843,4
5843,"4 , 7"
5842,4
5842,"1 , 4"
5842,"1 , 5 , 4"
5841,1
5840,4
5849,"1 , 4"
5848,7
3748,4
3749,1
3746,"1 , 4"
3747,4
3747,"4 , 6"
3747,"2 , 4 , 6"
3744,7
3745,8
3742,4
3742,"4 , 6"
3743,1
3740,"1 , 4"
3741,5
4620,1
4621,1
4622,4
4623,"1 , 4"
4624,6
4625,6
4626,4
4627,"1 , 4"
4628,4
4629,"1 , 4"
179,3
178,6
177,1
176,6
176,"3 , 6"
175,4
175,"8 , 4"
174,8
173,4
173,"4 , 6"
173,"4 , 7 , 6"
172,"1 , 3"
171,"1 , 8"
171,"1 , 8 , 5"
170,1
6217,4
6217,"4 , 7"
6217,"1 , 4 , 7"
6216,"1 , 4"
6215,7
6214,4
