189,ACCOAtr,1,0
190,ACETONEt2,1,0
191,ACETONEt2m,1,0
192,ACGAGBSIDEtg,1,0
193,ACGAGBSIDEtl,1,0
194,ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,1,0
195,ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,1,0
196,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,1,0
197,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,1,0
198,ACGALK,0,0
199,ACGALK2,0,0
200,ACGALtlg,1,0
201,ACGALtly,0,0
202,ACGAM2E,1,0
203,ACGAM6PSi,0,0
204,ACGAMK,0,0
205,ACGAMPM,1,0
206,ACGAMtly,0,0
207,ACGBGBSIDEtg,1,0
208,ACGBGBSIDEtl,1,0
209,ACGPID,0,0
210,ACGSm,0,0
211,ACHEe,0,0
212,ACHtn,1,0
213,ACHVESSEC,0,0
214,ACITL,0,0
215,ACN13ACNGALGBSIDEte,1,0
216,ACN13ACNGALGBSIDEtg,1,0
217,ACN23ACNGALGBSIDEte,1,0
218,ACN23ACNGALGBSIDEtg,1,0
219,ACNACNGAL14ACGLCGALGLUSIDEte,1,0
220,ACNACNGAL14ACGLCGALGLUSIDEtg,1,0
221,ACNACNGALGBSIDEte,1,0
222,ACNACNGALGBSIDEtg,1,0
223,ACNAM9PL,0,0
224,ACNAM9PL2,0,0
225,ACNAMlt,1,0
226,ACNAMPH,0,0
227,ACNAMtn,0,0
228,ACNGALACGLCGAL14ACGLCGALGLUSIDEte,1,0
229,ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,1,0
230,ACNMLr,1,0
231,ACOAD10m,0,0
232,ACOAD1fm,0,0
233,ACOAD8m,0,0
234,ACOAD9m,0,0
235,ACOAHi,0,0
236,ACOAO7p,0,0
237,ACOATA,1,0
238,ACODA,0,0
239,ACONT,1,0
240,ACONTm,1,0
241,ACOX22x,0,0
242,ACOX2x,0,0
243,ACP1_FMN_,0,0
244,ACRNtm,0,0
245,ACS,0,0
246,ACS2,0,0
247,ACSm,0,0
248,ACSOMT,0,0
249,ACSRTNMT,0,0
250,ACt2m,1,0
251,ACt2r,1,0
252,ACtg,1,0
253,ACTLMO,0,0
254,ACTNMO,0,0
255,ACYP,0,0
