17,"Transport, endoplasmic reticular",NULL,16
29,"Transport, extracellular",NULL,28
39,"Transport, golgi apparatus",NULL,38
48,"Transport, lysosomal",NULL,47
64,"Transport, peroxisomal",NULL,63
65,"Transport, mitochondrial",NULL,64
77,"Transport, nuclear",NULL,76
