Metabolite abbreviation,Kegg ID,Kegg ID_1,EHMN ID
3ddecdicoa[m],C05280,C05280 ,[]
3ddecdicoa[x],C05280,C05280 ,[]
3deccrn[c],[],[],[]
3deccrn[e],[],[],[]
3decdicoa[m],[],[],[]
3decdicoa[x],[],[],[]
3dhguln[c],C00618,[],[]
3docopencoa[m],[],[],[]
3docopencoa[x],[],[],[]
3dodtricoa[m],[],[],[]
3dodtricoa[x],[],[],[]
3dpdhb[m],[],[],[]
3dpdhb_me[m],C05300,[],[]
3dphb[m],[],[],[]
3dsphgn[c],C02934,[],C02934
3h26dm5coa[m],C11947,[],C11947
3h26dm5coa[x],C11947,[],C11947
3hanthrn[c],C00632,[],C00632
3hbcoa[m],C03561,[],C01144
3hbcoa[x],C03561,[],C01144
3hbcoa_R[c],C03561,[],[]
3hbcoa_R[m],C03561,[],[]
3hdcoa[c],C05264,[],[]
3hdcoa[m],C05264,[],[]
3hddcoa[c],C05262,[],[]
3hddcoa[m],C05262,[],[]
3hdeccoa[c],[],[],[]
3hdeccoa[m],[],[],[]
3hdececrn[c],[],[],[]
3hdececrn[e],[],[],[]
3hexdcoa[c],C05258,C05258 ,[]
3hexdcoa[m],C05258,C05258 ,[]
3hexdcrn[c],[],[],[]
3hexdcrn[e],[],[],[]
3hexdtetcoa[m],[],[],[]
3hexdtetcoa[x],[],[],[]
3hexdtricoa[m],[],[],[]
3hexdtricoa[x],[],[],[]
3hibutcoa[m],C06000,[],C06000
3hmbcoa[m],C04405,[],C04405
3hmp[m],C06001,C01188,C01188
3hodcoa[c],[],[],[]
3hodcoa[m],[],[],[]
3hpcoa[c],C05668,C05300,C05668
3hpcoa[m],C05668,C05300,C05668
3hpcoa[x],C05668,C05300,C05668
3hpp[c],C01013,[],C01013
3hpp[m],C01013,[],C01013
3htdcoa[c],C05260,[],[]
3htdcoa[m],C05260,[],[]
3htmelys[c],C01259,[],C01259
3htmelys[m],C01259,[],C01259
3hxkynam[c],C05636,[],C05636
3ityr_L[c],C02515,[],[]
3ivcoa[c],C05998,[],[]
3ivcoa[m],C05998,[],[]
3ivcrn[c],[],[],[]
3ivcrn[e],[],[],[]
3m4hpga[c],C05583,[],C05583
3m4hpga[m],C05583,[],C05583
3mb2coa[m],C03069,[],C03069
3mgcoa[m],C03231,[],C03231
3mlda[c],C05828,[],C05828
3mlda[e],C05828,[],C05828
3mldz[c],C05827,[],C05827
3mob[c],C00141,C00647,C00141
3mob[e],C00141,C00647,[]
3mob[m],C00141,C00647,C00141
3mop[c],C03465,C00671,C00671
3mop[e],C03465,C00671,[]
3mop[m],C03465,C00671,C00671
3mox4hoxm[c],C05584,[],C05584
3mox4hoxm[m],C05584,[],C05584
3mox4hpac[c],C05581,[],C05581
3mox4hpac[m],C05581,[],C05581
3moxtyr[c],C05587,[],C05587
3ocddcoa[c],[],[],[]
3ocddcoa[m],[],[],[]
3octdec2crn[c],[],[],[]
3octdec2crn[e],[],[],[]
3octdeccrn[c],[],[],[]
3octdeccrn[e],[],[],[]
3octdece1coa[c],[],[],[]
3octdece1coa[m],[],[],[]
3octdece1crn[c],[],[],[]
3octdece1crn[e],[],[],[]
3octdectecoa[m],[],[],[]
3octdectecoa[x],[],[],[]
3octpencoa[m],[],[],[]
3odcoa[m],C05265,[],C05265
3odcoa[x],C05265,[],C05265
3oddcoa[m],C05263,[],C05263
3oddcoa[x],C05263,[],C05263
3ohdcoa[m],C05259,[],C05259
3ohdcoa[x],C05259,[],C05259
3ohodcoa[c],C16216,[],CE2252
3ohodcoa[l],C16216,[],CE2252
3ohodcoa[r],C16216,[],CE2252
3ohodcoa[x],C16216,[],CE2252
3ohxccoa[x],[],[],[]
3otdcoa[m],C05261,[],C05261
3otdcoa[x],C05261,[],C05261
3padsel[c],C05696,[],C05696
3pg[c],C00597,C00197,C00197
3pg[m],C00597,C00197,C00197
3php[c],C03232,[],C03232
3sala[c],C00606,[],C00606
3sala[m],C00606,[],C00606
3snpyr[c],C05527,[],C05527
3snpyr[m],C05527,[],C05527
3spyr[c],C05528,[],C05528
3spyr[m],C05528,[],C05528
3tdcrn[c],[],[],[]
3tdcrn[e],[],[],[]
3tetd7ecoa[c],[],[],[]
3tetd7ecoa[m],[],[],[]
3tetd7ecoacrn[c],[],[],[]
3tetd7ecoacrn[e],[],[],[]
3thexddcoa[c],[],[],[]
3thexddcoa[m],[],[],[]
3thexddcoacrn[c],[],[],[]
3thexddcoacrn[e],[],[],[]
3ttetddcoa[c],[],[],[]
3ttetddcoa[m],[],[],[]
3ttetddcoacrn[c],[],[],[]
3ttetddcoacrn[e],[],[],[]
3uib[c],C05100,[],C05100
3ump[c],C01368,[],C01368
3ump[e],C01368,[],C01368
42A3HP24DB[c],C05645,[],C05645
44mctr[c],C11455,[],C11455
44mctr[r],C11455,[],C11455
44mzym[r],C05108,[],C05108
46dhoxquin[c],C05639,[],C05639
48dhoxquin[c],C05637,[],C05637
4aabutn[c],C02946,[],C02946
4aabutn[m],C02946,[],C02946
4abut[c],C00334,D00058,[]
4abut[e],C00334,D00058,[]
4abut[l],C00334,D00058,C00334
4abut[m],C00334,D00058,C00334
4abut[n],C00334,D00058,[]
4abutn[c],C00555,C02903;C05300,C00555
4abutn[e],C00555,C02903;C05300,C00555
4abutn[m],C00555,C02903;C05300,C00555
4aphdob[c],C01252,[],C01252
4fumacac[c],C01061,[],C01061
4h2oglt[c],C01127,C05946,[]
4h2oglt[m],C01127,C05946,[]
4hbz[m],C00156,[],[]
4hbzcoa[m],C02949,[],[]
4hdebrisoquine[c],[],[],[]
4hdebrisoquine[e],[],[],[]
4hexdtetcoa[m],[],[],[]
4hexdtetcoa[x],[],[],[]
4hexdtricoa[m],[],[],[]
4hexdtricoa[x],[],[],[]
4hglusa[m],C05938,[],C05938
4hoxpacd[c],C03765,[],C03765
4hphac[c],C00642,[],C00642
4hphac[e],C00642,[],C00642
4hpro_LT[c],C01157,[],[]
4hpro_LT[e],C01157,[],[]
4hpro_LT[m],C01157,[],[]
4hpro_LT[r],C01157,[],[]
4izp[c],C03680,[],C03680
4mlacac[c],C01036,[],C01036
4mop[c],C00233,[],C00233
4mop[e],C00233,[],[]
4mop[m],C00233,[],C00233
4mptnl[c],C02373,[],C02373
4mptnl[e],C02373,[],C02373
4mptnl[m],C02373,[],C02373
4mptnl[r],C02373,[],C02373
4mtolbutamide[c],[],[],[]
4mtolbutamide[e],[],[],[]
4mzym_int1[r],C15808,[],[]
4mzym_int2[r],C15816,[],[]
4nph[c],C00870,[],C00870
4nph[e],C00870,[],C00870
4nphsf[c],C00186,[],[]
4nphsf[e],C00186,[],[]
4ppan[c],C03492,[],C03492
4ppan[m],C03492,[],C03492
4ppcys[c],C04352,[],C04352
4ppcys[m],C04352,[],C04352
4pyrdx[c],C00847,[],C00847
4pyrdx[e],C00847,[],C00847
4tmeabut[c],C01149,[],C01149
4tmeabut[m],C01149,[],C01149
4tmeabutn[c],C01181,[],C01181
56dihindlcrbxlt[c],C04185,[],C04185
56dthm[c],C00906,[],C00906
56dthm[m],C00906,[],C00906
56dura[c],C00429,[],C00429
5a2opntn[x],C01110,[],C01110
5adtststerone[c],C03917,D07456,C03917
5adtststerone[e],C03917,D07456,C03917
5adtststerone[l],C03917,D07456,C03917
5adtststerone[m],C03917,D07456,C03917
5adtststerone[r],C03917,D07456,C03917
5adtststeroneglc[c],C03033,[],[]
5adtststeroneglc[e],C03033,[],[]
