compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
1,CheBI,15637,1,1
2,CheBI,57454,1,0
3,KEGG,C00234,1,1
4,PubChem,122347,1,1
5,PubChem,6326742,1,0
6,PubChem,46878370,1,0
7,HepatoNet,HC00212,1,1
8,EHMN,C00234,1,1
9,HMDB,HMDB00972,1,1
10,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,1,1
11,CheBI,15637,2,1
12,CheBI,57454,2,0
13,KEGG,C00234,2,1
14,PubChem,122347,2,1
15,PubChem,6326742,2,0
16,PubChem,46878370,2,0
17,HepatoNet,HC00212,2,1
18,EHMN,C00234,2,1
19,HMDB,HMDB00972,2,1
20,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,2,1
21,CheBI,15637,3,1
22,CheBI,57454,3,0
23,KEGG,C00234,3,1
24,PubChem,122347,3,1
25,PubChem,6326742,3,0
26,PubChem,46878370,3,0
27,HepatoNet,HC00212,3,1
28,EHMN,C00234,3,1
29,HMDB,HMDB00972,3,1
30,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,3,1
31,CheBI,15637,4,1
32,CheBI,57454,4,0
33,KEGG,C00234,4,1
34,PubChem,122347,4,1
35,PubChem,6326742,4,0
36,PubChem,46878370,4,0
37,HepatoNet,HC00212,4,1
38,EHMN,C00234,4,1
39,HMDB,HMDB00972,4,1
40,InChi Key,AUFGTPPARQZWDO-YPMHNXCESA-N,4,1
41,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,9,1
42,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,10,1
43,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,11,1
44,InChi Key,SFFBEUFYOPMKMV-CWMPVMSNSA-N,12,1
45,CheBI,28324,19,1
46,KEGG,C05488,19,1
47,PubChem,440707,19,1
48,EHMN,C05488,19,1
49,HMDB,HMDB00015,19,1
50,LMSD,LMST02030086,19,1
51,InChi Key,WHBHBVVOGNECLV-OBQKJFGGSA-N,19,1
52,CheBI,28324,20,1
53,KEGG,C05488,20,1
54,PubChem,440707,20,1
55,EHMN,C05488,20,1
56,HMDB,HMDB00015,20,1
57,LMSD,LMST02030086,20,1
58,InChi Key,WHBHBVVOGNECLV-OBQKJFGGSA-N,20,1
59,CheBI,28324,21,1
60,KEGG,C05488,21,1
61,PubChem,440707,21,1
62,EHMN,C05488,21,1
63,HMDB,HMDB00015,21,1
64,LMSD,LMST02030086,21,1
65,InChi Key,WHBHBVVOGNECLV-OBQKJFGGSA-N,21,1
66,CheBI,16973,22,1
67,KEGG,C03205,22,1
68,PubChem,6166,22,1
69,EHMN,C03205,22,1
70,HMDB,HMDB00016,22,1
71,LMSD,LMST02030087,22,1
72,InChi Key,ZESRJSPZRDMNHY-YFWFAHHUSA-N,22,1
73,CheBI,16973,23,1
74,KEGG,C03205,23,1
75,PubChem,6166,23,1
76,EHMN,C03205,23,1
77,HMDB,HMDB00016,23,1
78,LMSD,LMST02030087,23,1
79,InChi Key,ZESRJSPZRDMNHY-YFWFAHHUSA-N,23,1
80,CheBI,16973,24,1
81,KEGG,C03205,24,1
82,PubChem,6166,24,1
83,EHMN,C03205,24,1
84,HMDB,HMDB00016,24,1
85,LMSD,LMST02030087,24,1
86,InChi Key,ZESRJSPZRDMNHY-YFWFAHHUSA-N,24,1
87,CheBI,17815,25,1
88,KEGG,C00641,25,1
89,EHMN,C00641,25,1
90,CheBI,17815,26,1
91,KEGG,C00641,26,1
92,EHMN,C00641,26,1
93,CheBI,17815,27,1
94,KEGG,C00641,27,1
95,EHMN,C00641,27,1
96,CheBI,17815,28,1
97,KEGG,C00641,28,1
98,EHMN,C00641,28,1
99,CheBI,17815,29,1
100,KEGG,C00641,29,1
101,EHMN,C00641,29,1
102,PubChem,5312983,30,1
103,HMDB,HMDB06111,30,1
104,LMSD,LMFA03060063,30,1
105,InChi Key,ZNHVWPKMFKADKW-UHFFFAOYSA-N,30,1
106,CheBI,15626,31,1
107,KEGG,C05965,31,1
109,PubChem,5280892,31,1
110,HMDB,HMDB04243,31,1
111,LMSD,LMFA03060013,31,1
112,InChi Key,ZIOZYRSDNLNNNJ-IBGZPJMESA-N,31,1
113,CheBI,16997,32,1
114,CheBI,28972,32,0
115,KEGG,C00583,32,1
116,KEGG,C02912,32,0
117,PubChem,1030,32,1
118,PubChem,259994,32,0
119,HMDB,HMDB01881,32,1
120,InChi Key,DNIAPMSPPWPWGF-GSVOUGTGSA-N,32,1
121,CheBI,29002,33,1
122,KEGG,C02917,33,1
123,PubChem,439846,33,1
124,HMDB,HMDB06213,33,1
125,InChi Key,DNIAPMSPPWPWGF-VKHMYHEASA-N,33,1
126,CheBI,34145,34,1
127,KEGG,C14812,34,1
128,PubChem,9548885,34,1
129,HMDB,HMDB04692,34,1
130,LMSD,LMFA03060070,34,1
131,InChi Key,ZIOZYRSDNLNNNJ-LJQANCHMSA-N,34,1
132,CheBI,6067,37,1
133,CheBI,15367,37,0
134,CheBI,26536,37,0
135,KEGG,D00348,37,1
136,KEGG,C07058,37,0
137,KEGG,C15493,37,0
138,KEGG,C00777,37,0
139,PubChem,5282379,37,1
140,PubChem,5538,37,0
141,PubChem,444795,37,0
142,EHMN,CE2952,37,1
143,HMDB,HMDB06219,37,1
144,LMSD,LMPR01090021,37,1
145,InChi Key,SHGAZHPCJJPHSC-UHFFFAOYSA-N,37,1
146,CheBI,6067,38,1
147,CheBI,15367,38,0
148,CheBI,26536,38,0
149,KEGG,D00348,38,1
150,KEGG,C07058,38,0
151,KEGG,C15493,38,0
152,KEGG,C00777,38,0
153,PubChem,5282379,38,1
154,PubChem,5538,38,0
155,PubChem,444795,38,0
156,EHMN,CE2952,38,1
157,HMDB,HMDB06219,38,1
158,LMSD,LMPR01090021,38,1
159,InChi Key,SHGAZHPCJJPHSC-UHFFFAOYSA-N,38,1
160,CheBI,6067,39,1
161,CheBI,15367,39,0
162,CheBI,26536,39,0
163,KEGG,D00348,39,1
164,KEGG,C07058,39,0
165,KEGG,C15493,39,0
166,KEGG,C00777,39,0
167,PubChem,5282379,39,1
168,PubChem,5538,39,0
169,PubChem,444795,39,0
170,EHMN,CE2952,39,1
171,HMDB,HMDB06219,39,1
172,LMSD,LMPR01090021,39,1
173,InChi Key,SHGAZHPCJJPHSC-UHFFFAOYSA-N,39,1
174,CheBI,28870,40,1
175,KEGG,C11061,40,1
176,PubChem,5281877,40,1
177,HMDB,HMDB03141,40,1
178,InChi Key,MTGFYEHKPMOVNE-LYVDORBWSA-N,40,1
179,CheBI,28870,41,1
180,KEGG,C11061,41,1
181,PubChem,5281877,41,1
182,HMDB,HMDB03141,41,1
183,InChi Key,MTGFYEHKPMOVNE-LYVDORBWSA-N,41,1
184,CheBI,28870,42,1
185,KEGG,C11061,42,1
186,PubChem,5281877,42,1
187,HMDB,HMDB03141,42,1
188,InChi Key,MTGFYEHKPMOVNE-LYVDORBWSA-N,42,1
189,CheBI,15725,43,1
190,CheBI,57484,43,0
191,KEGG,C00986,43,1
192,PubChem,428,43,1
193,PubChem,4030255,43,0
194,EHMN,C00986,43,1
195,HMDB,HMDB00002,43,1
196,InChi Key,XFNJVJPLKCPIBV-UHFFFAOYSA-N,43,1
197,CheBI,16001,44,1
198,KEGG,C00236,44,1
199,PubChem,439191,44,1
200,PubChem,46878409,44,0
201,HepatoNet,HC00214,44,1
202,EHMN,C00236,44,1
203,HMDB,HMDB01270,44,1
204,InChi Key,LJQLQCAXBUHEAZ-UWTATZPHSA-N,44,1
205,CheBI,15628,45,1
206,CheBI,57446,45,0
207,KEGG,C05966,45,1
208,PubChem,5280893,45,1
209,PubChem,21158477,45,0
210,EHMN,C05966,45,1
211,HMDB,HMDB04244,45,1
212,LMSD,LMFA03060014,45,1
213,InChi Key,BFWYTORDSFIVKP-IBGZPJMESA-N,45,1
214,CheBI,15628,46,1
215,CheBI,57446,46,0
216,KEGG,C05966,46,1
217,PubChem,5280893,46,1
218,PubChem,21158477,46,0
219,EHMN,C05966,46,1
220,HMDB,HMDB04244,46,1
221,LMSD,LMFA03060014,46,1
222,InChi Key,BFWYTORDSFIVKP-IBGZPJMESA-N,46,1
223,CheBI,15628,47,1
224,CheBI,57446,47,0
225,KEGG,C05966,47,1
226,PubChem,5280893,47,1
227,PubChem,21158477,47,0
228,EHMN,C05966,47,1
229,HMDB,HMDB04244,47,1
230,LMSD,LMFA03060014,47,1
231,InChi Key,BFWYTORDSFIVKP-IBGZPJMESA-N,47,1
232,CheBI,28750,48,1
233,KEGG,C05138,48,1
234,PubChem,91451,48,1
235,PubChem,440573,48,0
236,EHMN,C05138,48,1
237,HMDB,HMDB00363,48,1
238,LMSD,LMST02030089,48,1
239,InChi Key,JERGUCIJOXJXHF-TVWVXWENSA-N,48,1
240,CheBI,28750,49,1
241,KEGG,C05138,49,1
242,PubChem,91451,49,1
243,PubChem,440573,49,0
244,EHMN,C05138,49,1
245,HMDB,HMDB00363,49,1
246,LMSD,LMST02030089,49,1
247,InChi Key,JERGUCIJOXJXHF-TVWVXWENSA-N,49,1
248,CheBI,28750,50,1
249,KEGG,C05138,50,1
250,PubChem,91451,50,1
251,PubChem,440573,50,0
252,EHMN,C05138,50,1
253,HMDB,HMDB00363,50,1
254,LMSD,LMST02030089,50,1
255,InChi Key,JERGUCIJOXJXHF-TVWVXWENSA-N,50,1
256,CheBI,28750,51,1
257,KEGG,C05138,51,1
258,PubChem,91451,51,1
259,PubChem,440573,51,0
260,EHMN,C05138,51,1
261,HMDB,HMDB00363,51,1
262,LMSD,LMST02030089,51,1
263,InChi Key,JERGUCIJOXJXHF-TVWVXWENSA-N,51,1
264,CheBI,28750,52,1
265,KEGG,C05138,52,1
266,PubChem,91451,52,1
267,PubChem,440573,52,0
268,EHMN,C05138,52,1
269,HMDB,HMDB00363,52,1
270,LMSD,LMST02030089,52,1
271,InChi Key,JERGUCIJOXJXHF-TVWVXWENSA-N,52,1
272,CheBI,17252,53,1
273,KEGG,C01176,53,1
274,KEGG,D08052,53,0
275,PubChem,6238,53,1
276,EHMN,C01176,53,1
277,HMDB,HMDB00374,53,1
278,LMSD,LMST02030161,53,1
279,InChi Key,DBPWSSGDRRHUNT-CEGNMAFCSA-N,53,1
280,CheBI,17252,54,1
281,KEGG,C01176,54,1
282,KEGG,D08052,54,0
283,PubChem,6238,54,1
284,EHMN,C01176,54,1
285,HMDB,HMDB00374,54,1
286,LMSD,LMST02030161,54,1
287,InChi Key,DBPWSSGDRRHUNT-CEGNMAFCSA-N,54,1
288,CheBI,17252,55,1
289,KEGG,C01176,55,1
290,KEGG,D08052,55,0
291,PubChem,6238,55,1
292,EHMN,C01176,55,1
293,HMDB,HMDB00374,55,1
294,LMSD,LMST02030161,55,1
295,InChi Key,DBPWSSGDRRHUNT-CEGNMAFCSA-N,55,1
296,PubChem,11141754,56,1
297,HMDB,HMDB06245,56,1
298,LMSD,LMFA03060093,56,1
299,InChi Key,PPCHNRUZQWLEMF-LJQANCHMSA-N,56,1
300,HMDB,HMDB06227,57,1
301,LMSD,LMST03010051,57,1
302,InChi Key,KRGCLKZOZQUAFK-ODIZWMGWSA-N,57,1
303,CheBI,47799,58,1
304,KEGG,C18231,58,1
305,PubChem,6446280,58,1
306,HMDB,HMDB06228,58,1
307,LMSD,LMST03020686,58,1
308,InChi Key,WFZKUWGUJVKMHC-LFGNEKGJSA-N,58,1
309,HMDB,HMDB06225,59,1
310,InChi Key,ZGLHBRQAEXKACO-WROXZXEWSA-N,59,1
311,CheBI,17823,60,1
312,KEGG,C01673,60,1
313,KEGG,D00129,60,0
314,PubChem,5280453,60,1
315,PubChem,134070,60,0
316,HMDB,HMDB01903,60,1
317,LMSD,LMST03020258,60,1
318,InChi Key,GMRQFYUYWCNGIN-ZVUFCXRFSA-N,60,1
319,CheBI,17823,61,1
320,KEGG,C01673,61,1
321,KEGG,D00129,61,0
322,PubChem,5280453,61,1
323,PubChem,134070,61,0
324,EHMN,C01673,61,1
325,HMDB,HMDB01903,61,1
326,LMSD,LMST03020258,61,1
327,InChi Key,GMRQFYUYWCNGIN-ZVUFCXRFSA-N,61,1
328,CheBI,17823,62,1
329,KEGG,C01673,62,1
330,KEGG,D00129,62,0
331,PubChem,5280453,62,1
332,PubChem,134070,62,0
333,HMDB,HMDB01903,62,1
334,LMSD,LMST03020258,62,1
335,InChi Key,GMRQFYUYWCNGIN-ZVUFCXRFSA-N,62,1
336,CheBI,57970,63,1
337,KEGG,C00681,63,1
338,EHMN,C00681,63,1
339,CheBI,16797,65,1
340,KEGG,C02918,65,1
341,PubChem,457,65,1
342,EHMN,C02918,65,1
343,HMDB,HMDB00699,65,1
344,InChi Key,LDHMAVIPBRSVRG-UHFFFAOYSA-O,65,1
345,CheBI,16797,66,1
346,KEGG,C02918,66,1
347,PubChem,457,66,1
348,EHMN,C02918,66,1
349,HMDB,HMDB00699,66,1
350,InChi Key,LDHMAVIPBRSVRG-UHFFFAOYSA-O,66,1
351,CheBI,27435,67,1
352,KEGG,C06178,67,1
353,PubChem,440932,67,1
354,EHMN,C06178,67,1
355,InChi Key,FDWZAOGDOVQOLD-UHFFFAOYSA-N,67,1
356,CheBI,36761,68,1
357,CheBI,17425,68,0
358,KEGG,C03564,68,1
359,PubChem,440046,68,1
360,PubChem,11966218,68,0
361,EHMN,C03564,68,1
362,HMDB,HMDB06875,68,1
363,InChi Key,RHTAIKJZSXNELN-UHFFFAOYSA-N,68,1
364,CheBI,6151,69,1
365,CheBI,27391,69,0
366,KEGG,C04281,69,1
367,PubChem,11966267,69,1
368,PubChem,1059,69,0
369,PubChem,11966268,69,0
370,HepatoNet,HC01261,69,1
371,EHMN,C04281,69,1
372,HMDB,HMDB01369,69,1
373,InChi Key,WFOFKRKDDKGRIK-DMTCNVIQSA-N,69,1
374,CheBI,6151,70,1
375,CheBI,27391,70,0
376,KEGG,C04281,70,1
377,PubChem,11966267,70,1
378,PubChem,1059,70,0
379,PubChem,11966268,70,0
380,HepatoNet,HC01261,70,1
381,EHMN,C04281,70,1
382,HMDB,HMDB01369,70,1
383,InChi Key,WFOFKRKDDKGRIK-DMTCNVIQSA-N,70,1
384,CheBI,30912,71,1
385,CheBI,16187,71,0
386,KEGG,C04092,71,1
387,PubChem,1194,71,1
388,PubChem,5460387,71,0
389,EHMN,C04092,71,1
390,HMDB,HMDB01084,71,1
391,InChi Key,GEJXSVNGWOSZPC-UHFFFAOYSA-N,71,1
392,CheBI,1372,72,1
393,CheBI,15893,72,0
394,KEGG,C04322,72,1
395,KEGG,C03912,72,0
396,PubChem,1196,72,1
397,PubChem,440162,72,0
398,PubChem,11966181,72,0
399,PubChem,11966213,72,0
400,HepatoNet,HC01199,72,1
401,EHMN,C03912,72,1
402,HMDB,HMDB01301,72,1
403,InChi Key,DWAKNKKXGALPNW-UHFFFAOYSA-N,72,1
404,CheBI,1372,73,1
405,CheBI,15893,73,0
406,KEGG,C04322,73,1
407,KEGG,C03912,73,0
408,PubChem,1196,73,1
409,PubChem,440162,73,0
410,PubChem,11966181,73,0
411,PubChem,11966213,73,0
412,HepatoNet,HC01199,73,1
413,EHMN,C03912,73,1
414,HMDB,HMDB01301,73,1
415,InChi Key,DWAKNKKXGALPNW-UHFFFAOYSA-N,73,1
416,CheBI,1296,74,1
417,KEGG,C05500,74,1
418,PubChem,121935,74,1
419,EHMN,C05500,74,1
420,HMDB,HMDB06283,74,1
421,LMSD,LMST01010201,74,1
422,InChi Key,MCKLJFJEQRYRQT-APGJSSKUSA-N,74,1
423,CheBI,28637,75,1
424,KEGG,C02355,75,1
425,PubChem,439715,75,1
426,PubChem,23421171,75,0
427,EHMN,C02355,75,1
428,HMDB,HMDB11640,75,1
429,InChi Key,HWDMHJDYMFRXOX-XVFCMESISA-N,75,1
430,CheBI,28637,76,1
431,KEGG,C02355,76,1
432,PubChem,439715,76,1
433,PubChem,23421171,76,0
434,EHMN,C02355,76,1
435,HMDB,HMDB11640,76,1
436,InChi Key,HWDMHJDYMFRXOX-XVFCMESISA-N,76,1
437,CheBI,15622,77,1
438,KEGG,C04575,77,1
439,PubChem,440390,77,1
440,HMDB,HMDB05971,77,1
441,LMSD,LMFA01060195,77,1
442,InChi Key,GJQWCDSAOUMKSE-STHAYSLISA-N,77,1
443,CheBI,17720,78,1
444,CheBI,58248,78,0
445,KEGG,C01159,78,1
446,PubChem,186004,78,1
447,PubChem,25200383,78,0
448,EHMN,C01159,78,1
449,HMDB,HMDB01294,78,1
450,InChi Key,XOHUEYCVLUUEJJ-UWTATZPHSA-N,78,1
451,InChi Key,BPEQZNMKGFTMQE-DXYROGBQSA-N,79,1
452,InChi Key,BPEQZNMKGFTMQE-DXYROGBQSA-N,80,1
453,InChi Key,BPEQZNMKGFTMQE-DXYROGBQSA-N,81,1
454,CheBI,28818,82,1
455,KEGG,C07712,82,1
456,PubChem,5281059,82,1
457,PubChem,5283748,82,0
458,EHMN,CE1337,82,1
459,LMSD,LMST03020273,82,1
460,InChi Key,FCKJYANJHNLEEP-SUUCIXNTSA-N,82,1
461,CheBI,28818,83,1
462,KEGG,C07712,83,1
463,PubChem,5281059,83,1
464,PubChem,5283748,83,0
465,EHMN,CE1337,83,1
466,LMSD,LMST03020273,83,1
467,InChi Key,FCKJYANJHNLEEP-SUUCIXNTSA-N,83,1
468,CheBI,28818,84,1
469,KEGG,C07712,84,1
470,PubChem,5281059,84,1
471,PubChem,5283748,84,0
472,EHMN,CE1337,84,1
473,LMSD,LMST03020273,84,1
474,InChi Key,FCKJYANJHNLEEP-SUUCIXNTSA-N,84,1
475,CheBI,16318,85,1
476,CheBI,57730,85,0
477,KEGG,C02235,85,1
478,PubChem,3505109,85,1
479,PubChem,6971250,85,0
480,HMDB,HMDB02916,85,1
481,InChi Key,XJNPNXSISMKQEX-UHFFFAOYSA-N,85,1
482,CheBI,16318,86,1
483,CheBI,57730,86,0
484,KEGG,C02235,86,1
485,PubChem,3505109,86,1
486,PubChem,6971250,86,0
487,HMDB,HMDB02916,86,1
488,InChi Key,XJNPNXSISMKQEX-UHFFFAOYSA-N,86,1
489,CheBI,58443,87,1
490,KEGG,C04823,87,1
491,PubChem,160666,87,1
492,PubChem,45266647,87,0
493,HepatoNet,HC01356,87,1
494,EHMN,C04823,87,1
495,HMDB,HMDB00797,87,1
496,InChi Key,NAQGHJTUZRHGAC-ZZZDFHIKSA-N,87,1
497,HMDB,HMDB01438,88,1
498,LMSD,LMST03010030,88,1
499,InChi Key,KJKIIUAXZGLUND-WYBYICLWSA-N,88,1
500,HMDB,HMDB01438,89,1
501,LMSD,LMST03010030,89,1
502,InChi Key,KJKIIUAXZGLUND-WYBYICLWSA-N,89,1
503,HMDB,HMDB01438,90,1
504,LMSD,LMST03010030,90,1
505,InChi Key,KJKIIUAXZGLUND-WYBYICLWSA-N,90,1
506,CheBI,17933,91,1
507,KEGG,C01561,91,1
508,PubChem,5283731,91,1
509,PubChem,6433735,91,0
510,HMDB,HMDB03550,91,1
511,LMSD,LMST03020246,91,1
512,InChi Key,JWUBBDSIWDLEOM-DLBXBJKMSA-N,91,1
513,CheBI,17933,92,1
514,KEGG,C01561,92,1
515,PubChem,5283731,92,1
516,PubChem,6433735,92,0
517,HMDB,HMDB03550,92,1
518,LMSD,LMST03020246,92,1
519,InChi Key,JWUBBDSIWDLEOM-DLBXBJKMSA-N,92,1
520,CheBI,17933,93,1
521,KEGG,C01561,93,1
522,PubChem,5283731,93,1
523,PubChem,6433735,93,0
524,EHMN,C01561,93,1
525,HMDB,HMDB03550,93,1
526,LMSD,LMST03020246,93,1
527,InChi Key,JWUBBDSIWDLEOM-DLBXBJKMSA-N,93,1
528,CheBI,17123,94,1
529,KEGG,C02218,94,1
530,PubChem,123991,94,1
531,HepatoNet,HC00906,94,1
532,EHMN,C02218,94,1
533,HMDB,HMDB03609,94,1
534,InChi Key,UQBOJOOOTLPNST-UHFFFAOYSA-N,94,1
535,CheBI,15573,95,1
536,CheBI,57418,95,0
537,KEGG,C03557,95,1
538,PubChem,339,95,1
539,PubChem,5245507,95,0
540,EHMN,C03557,95,1
541,HMDB,HMDB11747,95,1
542,InChi Key,QQVDJLLNRSOCEL-UHFFFAOYSA-N,95,1
543,CheBI,40673,96,1
544,CheBI,16944,96,0
545,KEGG,C03508,96,1
546,PubChem,440033,96,1
547,PubChem,5460100,96,0
548,PubChem,3014507,96,0
549,EHMN,C03508,96,1
550,HMDB,HMDB06454,96,1
551,LMSD,LMFA01060172,96,1
552,InChi Key,SAUCHDKDCUROAO-VKHMYHEASA-N,96,1
553,CheBI,60872,97,1
554,KEGG,C05604,97,1
555,PubChem,161255,97,1
556,EHMN,C05604,97,1
557,HMDB,HMDB04067,97,1
558,InChi Key,JDWYRSDDJVCWPB-LURJTMIESA-N,97,1
559,CheBI,28873,98,1
560,KEGG,C05838,98,1
561,PubChem,5280841,98,1
562,PubChem,54714352,98,0
563,EHMN,C05838,98,1
564,InChi Key,PMOWTIHVNWZYFI-UHFFFAOYSA-N,98,1
565,KEGG,C05279,99,1
566,PubChem,53480665,99,1
567,HMDB,HMDB11123,99,1
568,InChi Key,ZSJRXHRCABOSNC-XRUZZFSQSA-N,99,1
569,KEGG,C05279,100,1
570,PubChem,53480665,100,1
571,HMDB,HMDB11123,100,1
572,InChi Key,ZSJRXHRCABOSNC-XRUZZFSQSA-N,100,1
573,CheBI,50774,108,1
574,InChi Key,FYLLWSGFAAQKHU-UHFFFAOYSA-N,108,1
575,CheBI,50773,109,1
576,LMSD,LMPR02010033,109,1
577,InChi Key,POYJNCVGTDCCPK-UHFFFAOYSA-N,109,1
578,CheBI,50772,110,1
579,LMSD,LMPR02010032,110,1
580,InChi Key,DLBRMPAESNEOJM-UHFFFAOYSA-N,110,1
581,CheBI,50771,111,1
582,HMDB,HMDB06484,111,1
583,LMSD,LMPR02010031,111,1
584,InChi Key,ONGWDJKIJUAIOD-UHFFFAOYSA-N,111,1
585,CheBI,28542,112,1
586,CheBI,58576,112,0
587,KEGG,C00672,112,1
588,PubChem,5460448,112,1
589,PubChem,5460013,112,0
590,PubChem,439287,112,0
591,HepatoNet,HC00489,112,1
592,EHMN,C00672,112,1
593,HMDB,HMDB01351,112,1
594,InChi Key,KBDKAJNTYKVSEK-PYHARJCCSA-N,112,1
595,CheBI,16132,113,1
596,KEGG,C00673,113,1
597,PubChem,45934311,113,1
598,HepatoNet,HC00490,113,1
599,EHMN,C00673,113,1
600,HMDB,HMDB01031,113,1
601,InChi Key,ALQNUOMIEBHXQG-CRCLSJGQSA-N,113,1
602,CheBI,1148,114,1
603,KEGG,C05984,114,1
604,PubChem,11266,114,1
605,PubChem,440864,114,0
606,HepatoNet,HC01669,114,1
607,EHMN,C05984,114,1
608,HMDB,HMDB00008,114,1
609,LMSD,LMFA01050004,114,1
610,InChi Key,AFENDNXGAFYKQO-UHFFFAOYSA-N,114,1
611,CheBI,1148,115,1
612,KEGG,C05984,115,1
613,PubChem,11266,115,1
614,PubChem,440864,115,0
615,HepatoNet,HC01669,115,1
616,EHMN,C05984,115,1
617,HMDB,HMDB00008,115,1
618,LMSD,LMFA01050004,115,1
619,InChi Key,AFENDNXGAFYKQO-UHFFFAOYSA-N,115,1
620,CheBI,28478,120,1
621,KEGG,C05852,120,1
622,PubChem,11970,120,1
623,EHMN,C05852,120,1
624,HMDB,HMDB00669,120,1
625,InChi Key,CCVYRRGZDBSHFU-UHFFFAOYSA-N,120,1
626,CheBI,33574,121,1
627,CheBI,16723,121,0
628,KEGG,C01180,121,1
629,PubChem,4584184,121,1
630,PubChem,473,121,0
631,HMDB,HMDB01553,121,1
632,LMSD,LMFA01060170,121,1
633,InChi Key,SXFSQZDSUWACKX-UHFFFAOYSA-N,121,1
634,CheBI,15476,122,1
635,KEGG,C03344,122,1
636,PubChem,193425,122,1
637,PubChem,45266568,122,0
638,PubChem,439985,122,0
639,HepatoNet,HC01101,122,1
640,EHMN,C03344,122,1
641,HMDB,HMDB01157,122,1
642,InChi Key,NHNODHRSCRALBF-NQNBQJKNSA-N,122,1
643,CheBI,57337,123,1
644,CheBI,15478,123,0
645,KEGG,C03345,123,1
646,PubChem,5280564,123,1
647,PubChem,6443760,123,0
648,HMDB,HMDB02054,123,1
649,InChi Key,PMWATMXOQQZNBX-DJVIHCHSSA-N,123,1
650,CheBI,57337,124,1
651,CheBI,15478,124,0
652,KEGG,C03345,124,1
653,PubChem,5280564,124,1
654,PubChem,6443760,124,0
655,PubChem,45266534,124,0
656,HepatoNet,HC01102,124,1
657,EHMN,C03345,124,1
658,HMDB,HMDB02054,124,1
659,InChi Key,PMWATMXOQQZNBX-DJVIHCHSSA-N,124,1
660,CheBI,15477,125,1
661,KEGG,C01033,125,1
662,PubChem,11966141,125,1
663,PubChem,439371,125,0
664,PubChem,54,125,0
665,PubChem,45266569,125,0
666,HepatoNet,HC00632,125,1
667,EHMN,C01033,125,1
668,HMDB,HMDB01041,125,1
669,InChi Key,LYNVNYDEQMMNMZ-XGXNYEOVSA-N,125,1
670,CheBI,16717,126,1
671,CheBI,57872,126,0
672,KEGG,C04225,126,1
673,PubChem,3080625,126,1
674,PubChem,23615274,126,0
675,HMDB,HMDB06357,126,1
676,InChi Key,NUZLRKBHOBPTQV-UHFFFAOYSA-N,126,1
677,CheBI,30835,127,1
678,CheBI,15598,127,0
679,PubChem,515,127,1
680,PubChem,5460420,127,0
681,HMDB,HMDB00379,127,1
682,InChi Key,YNOXCRMFGMSKIJ-UHFFFAOYSA-N,127,1
683,CheBI,30835,128,1
684,CheBI,15598,128,0
685,PubChem,515,128,1
686,PubChem,5460420,128,0
687,HMDB,HMDB00379,128,1
688,InChi Key,YNOXCRMFGMSKIJ-UHFFFAOYSA-N,128,1
689,CheBI,16256,129,1
690,CheBI,57700,129,0
691,KEGG,C00349,129,1
692,PubChem,296,129,1
693,PubChem,21917715,129,0
694,HepatoNet,HC00296,129,1
695,EHMN,C00349,129,1
696,HMDB,HMDB01172,129,1
697,LMSD,LMFA01060193,129,1
698,InChi Key,VOKUMXABRRXHAR-UHFFFAOYSA-N,129,1
699,CheBI,16256,130,1
700,CheBI,57700,130,0
701,KEGG,C00349,130,1
702,PubChem,296,130,1
703,PubChem,21917715,130,0
704,HepatoNet,HC00296,130,1
705,EHMN,C00349,130,1
706,HMDB,HMDB01172,130,1
707,LMSD,LMFA01060193,130,1
708,InChi Key,VOKUMXABRRXHAR-UHFFFAOYSA-N,130,1
709,CheBI,27754,131,1
710,KEGG,C03460,131,1
711,PubChem,165390,131,1
712,PubChem,440021,131,0
713,HepatoNet,HC01122,131,1
714,EHMN,C03460,131,1
715,HMDB,HMDB01011,131,1
716,InChi Key,NPALUEYCDZWBOV-NDZSKPAWSA-N,131,1
717,CheBI,17577,132,1
718,KEGG,C04424,132,1
719,PubChem,11953835,132,1
720,EHMN,C04424,132,1
721,HMDB,HMDB06868,132,1
722,InChi Key,UEFURMXXHJCLJP-UHFFFAOYSA-N,132,1
723,CheBI,30831,133,1
724,CheBI,16763,133,0
725,KEGG,C00109,133,1
726,PubChem,58,133,1
727,PubChem,3593277,133,0
728,HepatoNet,HC00108,133,1
729,EHMN,C00109,133,1
730,HMDB,HMDB00005,133,1
731,LMSD,LMFA01060002,133,1
732,InChi Key,TYEYBOSBBBHJIV-UHFFFAOYSA-N,133,1
733,CheBI,30831,134,1
734,CheBI,16763,134,0
735,KEGG,C00109,134,1
736,PubChem,58,134,1
737,PubChem,3593277,134,0
738,HepatoNet,HC00108,134,1
739,EHMN,C00109,134,1
740,HMDB,HMDB00005,134,1
741,LMSD,LMFA01060002,134,1
742,InChi Key,TYEYBOSBBBHJIV-UHFFFAOYSA-N,134,1
