compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
10641,KEGG,C01011,2256,1
10642,PubChem,45266719,2256,1
10643,HMDB,HMDB06345,2256,1
10644,InChi Key,XYGOWHUIVNMEIA-XBVYHAPZSA-N,2256,1
10645,CheBI,16349,2257,1
10646,CheBI,57743,2257,0
10647,KEGG,C00327,2257,1
10648,KEGG,D07706,2257,0
10649,PubChem,9750,2257,1
10650,PubChem,6992098,2257,0
10651,HepatoNet,HC00277,2257,1
10652,HMDB,HMDB00904,2257,1
10653,InChi Key,RHGKLRLOHDJJDR-BYPYZUCNSA-N,2257,1
10654,CheBI,16349,2258,1
10655,CheBI,57743,2258,0
10656,KEGG,C00327,2258,1
10657,KEGG,D07706,2258,0
10658,PubChem,9750,2258,1
10659,PubChem,6992098,2258,0
10660,HepatoNet,HC00277,2258,1
10661,HMDB,HMDB00904,2258,1
10662,InChi Key,RHGKLRLOHDJJDR-BYPYZUCNSA-N,2258,1
10663,CheBI,16349,2259,1
10664,CheBI,57743,2259,0
10665,KEGG,C00327,2259,1
10666,KEGG,D07706,2259,0
10667,PubChem,9750,2259,1
10668,PubChem,6992098,2259,0
10669,HepatoNet,HC00277,2259,1
10670,HMDB,HMDB00904,2259,1
10671,InChi Key,RHGKLRLOHDJJDR-BYPYZUCNSA-N,2259,1
10672,CheBI,17996,2260,1
10673,CheBI,17883,2260,0
10674,CheBI,23116,2260,0
10675,KEGG,C00698,2260,1
10676,KEGG,C00115,2260,0
10677,KEGG,C01327,2260,0
10678,PubChem,312,2260,1
10679,PubChem,313,2260,0
10680,HMDB,HMDB00492,2260,1
10681,InChi Key,VEXZGXHMUGYJMC-UHFFFAOYSA-N,2260,1
10682,CheBI,17996,2261,1
10683,CheBI,17883,2261,0
10684,CheBI,23116,2261,0
10685,KEGG,C00698,2261,1
10686,KEGG,C00115,2261,0
10687,KEGG,C01327,2261,0
10688,PubChem,312,2261,1
10689,PubChem,313,2261,0
10690,HMDB,HMDB00492,2261,1
10691,InChi Key,VEXZGXHMUGYJMC-UHFFFAOYSA-N,2261,1
10692,CheBI,17996,2262,1
10693,CheBI,17883,2262,0
10694,CheBI,23116,2262,0
10695,KEGG,C00698,2262,1
10696,KEGG,C01327,2262,0
10697,PubChem,312,2262,1
10698,PubChem,313,2262,0
